node_id,node_group,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Ciliated_Cell_Of_Submucosal_Gland_1,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_2,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_3,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_4,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_5,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_6,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_7,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_8,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_9,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_10,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
Ciliated_Cell_Of_Submucosal_Gland_11,Ciliated_Cell_Of_Submucosal_Gland,airway submucosal gland duct ciliated cell,CL:4033055,bronchus submucosal gland,UBERON_8410043,Lung,UBERON:0002048
