"Anatomical Structures, Cell Types and Biomarkers Table for Oral Cavity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Kevin M. Byrd; Ellen M. Quardokus; Angelo Rosso Llantada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5565-0524; 0000-0001-7655-4833; 0000-0003-3541-867X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Griffin M Weber; Jie Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X; 0000-0002-2999-0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Easter QT, et al. Single-cell and spatially resolved interactomics of tooth-associated keratinocytes in periodontitis. Nat Commun. 2024 Jun 14;15(1):5016. doi: 10.1038/s41467-024-49037-y. PMID: 38876998; PMCID: PMC11178863.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,CT/1,CT/1/LABEL,CT/1/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/NOTES,REF/1,REF/1/ID,REF/1/NOTES
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,macrophage,macrophage,CL:0000235,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,mast cell,mast cell,CL:0000097,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,mucous acinar cell,,,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,myoepithelial cell,myoepithelial cell of salivary gland,CL:9900008,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,periacinar fibroblast,periductal fibroblast of salivary gland,CL:0000057,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,pericyte,pericyte,CL:0000669,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,periductal fibroblast,periductal fibroblast of salivary gland,CL:9900003,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,seromucosal acinar cell,seromucous acinar cell of salivary gland,CL:4052067,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,smooth muscle cell,smooth muscle cell,CL:0000192,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,tuft cell,tuft cell of sublingual gland,CL:9900006,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,excretory duct,,,excretory duct epithelial cell,,,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,intercalated duct,,,intercalated duct epithelial cell,intercalated cell of salivary gland,CL:4052048,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,major salivary gland,major salivary gland,UBERON:0001829,submandibular gland,submandibular gland,UBERON:0001736,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,striated duct,,,striated duct epithelial cell,striated cell of salivary gland,CL:4052049,submandibular gland ducto-acinar,submandibular gland ducto-acinar unit,UBERON:8000013,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,anterior lingual gland,anterior lingual gland,UBERON:0006330,,,,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,labial gland,labial gland,UBERON:8480065,,,,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,palatine gland,palatine gland,UBERON:0002447,,,,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,Weber's gland,Weber's gland,UBERON:0034934,,,,,,,,,,,,,,,,
mouth,mouth,UBERON:0000165,oral gland,oral gland,UBERON:0010047,saliva-secreting gland,saliva-secreting gland,UBERON:0001044,minor salivary gland,minor salivary gland,UBERON:0001830,gustatory gland (Von Ebner's gland),gustatory gland,UBERON:0013475,,,,,,,,,,,,,,,,
