"Anatomical Structures, Cell Types and Biomarkers Table for Single Lobe main bronchus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Gloria Pryhuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-9185-3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Martijn Nawijn; Ellen Quardokus; Gail Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-3372-6521; 0000-0001-7655-4833; 0000-0002-0571-0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"https://doi.org/10.1038/s41586-020-2922-4; https://doi.org/10.1152/physrev.00001.2018; https://doi.org/10.1038/s41586-018-0394-6; DOI:10.1172/jci.insight.90558; https://doi.org/10.1126/sciadv.aba1983; https://doi.org/10.7554/eLife.62522; https://doi.org/10.1164/rccm.201911-2199OC; Gray's Anatomy The Anatomical Basis of Clinical Practice ed.Standring, S. Elsevier. 2021 ISBN:978-0-7020-7705-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM673.RKQV.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,15-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/1/Notes,AS/2,AS/2/LABEL,AS/2/ID,AS/2/Notes,AS/3,AS/3/LABEL,AS/3/ID,AS/3/Notes,AS/4,AS/4/LABEL,AS/4/ID,AS/4/Notes,AS/5,AS/5/LABEL,AS/5/ID,AS/5/Notes,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/1/NOTES,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/2/NOTES,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/3/NOTES,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/4/NOTES,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/5/NOTES,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/6/NOTES,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/7/NOTES,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/8/NOTES,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/9/NOTES,BGene/10,BGene/10/LABEL,BGene/10/ID,BGene/10/NOTES,,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/1/NOTES,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/2/NOTES,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/3/NOTES,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/4/NOTES,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/5/NOTES,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/ID,REF/1/NOTES
extrapulmonary bronchus,main bronchus,UBERON:0002182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,main bronchus connective tissue,main bronchus connective tissue,UBERON:0003590,,,,,,,,,,,,,,,,,Connective Tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,main bronchus smooth muscle,main bronchus smooth muscle,UBERON:0004241,,,,,,,,,,,,,,bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 2,DES,desmin,HGNC:2770,level 2,CNN1,calponin 1,HGNC:2155,level 3,MYH11,myosin heavy chain 11,HGNC:7569,level 3,PLN,phospholamban,HGNC:9080,level 3,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,level 3,FAM83D,family with sequence similarity 83 member D,HGNC:16122,level 3,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 3,TAGLN,transgelin,HGNC:11553,level 3,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,level 3,CNN1,calponin 1,HGNC:2155,level 3,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,bronchial submucosal gland,bronchus submucosal gland,UBERON:8410043,,bronchial submucosal gland ciliated duct,bronchial submucosal gland ciliated duct,UBERON:8600010,,,,,,,,,,airway submucosal gland duct ciliated cell,airway submucosal gland duct ciliated cell,CL:4033055,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,FOXJ1,forkhead box J1,HGNC:3816,level 3,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,level 3,RSPH1,radial spoke head component 1,HGNC:12371,level 3,,,,,,,,,,CDH1,e-cadherin,HGNC:1748,level 2,FOXJ1,forkhead box J1,HGNC:3816,level 3,TUBA1A,tubulin alpha 1a,HGNC:20766,level 3,,,,,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,bronchial submucosal gland,bronchus submucosal gland,UBERON:8410043,,submucosal gland collecting duct,submucosal gland collecting duct,UBERON:8600013,,,,,,,,,,airway submucosal gland collecting duct epithelial cell,airway submucosal gland collecting duct epithelial cell,CL:4033023,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,BPIFA1,BPI Fold Containing Family A Member 1,HGNC:15749,level 3,MIA,MIA SH3 domain containing,HGNC:7076,level 3,ALDH1A3,aldehyde dehydrogenase 1 family member A3,HGNC:409,level 3,RARRES1,retinoic acid receptor responder 1,HGNC:9867,level 3,,,,,,CDH1,e-cadherin,HGNC:1748,level 2,BPIFA1,BPI Fold Containing Family A Member 1,HGNC:15749,level 3,,,,,,,,,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,bronchial submucosal gland,bronchus submucosal gland,UBERON:8410043,,submucosal gland acinus,submucosal gland acinus,UBERON:8600012,,,,,,,,,,serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,PIGR,polymeric immunoglobulin receptor,HGNC:8968,level 3,LYZ,lysozyme,HGNC:6740,level 3,LPO,lactoperoxidase,HGNC:6678,level 3,LTF,lactotransferrin,HGNC:6720,level 3,,,,,,CDH1,e-cadherin,HGNC:1748,level 2,LYZ,lysozyme,HGNC:6740,level 3,LTF,lactotransferrin,HGNC:6720,level 3,,,,,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,bronchial submucosal gland,bronchus submucosal gland,UBERON:8410043,,submucosal gland acinus,submucosal gland acinus,UBERON:8600012,,,,,,,,,,mucus secreting cell of bronchus submucosal gland,mucus secreting cell of bronchus submucosal gland,CL:4033022,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,level 3,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,level 3,AGR2,"anterior gradient 2, protein disulphide isomerase family member",HGNC:328,level 3,,,,,,,,,,CDH1,e-cadherin,HGNC:1748,level 2,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,level 3,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,level 3,,,,,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,bronchial submucosal gland,bronchus submucosal gland,UBERON:8410043,,submucosal gland acinus,submucosal gland acinus,UBERON:8600012,,,,,,,,,,myoepithelial cell of bronchus submucosal gland,myoepithelial cell of bronchus submucosal gland,CL:4033003,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 3,MYH11,myosin heavy chain 11,HGNC:7569,level 3,KRT14,keratin 14,HGNC:6416,level 3,KRT5,keratin 5,HGNC:6442,level 3,CNN1,calponin 1,HGNC:2155,level 3,,,,,,CDH1,e-cadherin,HGNC:1748,level 2,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 3,TP63,tumor protein p63,HGNC:15979,level 3,,,,,,,,,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,bronchial submucosal gland,bronchus submucosal gland,UBERON:8410043,,submucosal gland collecting duct,submucosal gland collecting duct,UBERON:8600013,,,,,,,,,,airway submucosal gland duct basal cell,airway submucosal gland duct basal cell,CL:4033024,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,TP63,tumor protein p63,HGNC:15979,level 3,KRT5,keratin 5,HGNC:6442,level 3,FOXC1,forkhead box C1,HGNC:3800,level 3,KRT14,keratin 14,HGNC:6416,level 3,CTNNB1,catenin beta 1,HGNCL2514,level 3,,CDH1,e-cadherin,HGNC:1748,level 2,TP63,tumor protein p63,HGNC:15979,level 3,KRT5,keratin 5,HGNC:6442,level 3,FOXC1,forkhead box C1,HGNC:3800,level 3,KRT14,keratin 14,HGNC:6416,level 3,,,,,,
extrapulmonary bronchus,main bronchus,UBERON:0002182,,cartilage of bronchus,cartilage of bronchus,UBERON:0001956,,,,,,,,,,,,,,tracheobronchial chondrocyte,tracheobronchial chondrocyte,CL:0019002,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,COL2A1,collagen type II alpha 1 chain,HGNC:2200,level 3,,,,,,,,,,,,,,,,,,,,,,,,,,COL2A1,collagen type II alpha 1 chain,HGNC:2200,level 3,,,,,,,,,,,,,,,,,,,,,,
