"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping",,,,,,,
,,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,,
Reviewer(s):,,,,,,,
Reviewer ORCID(s):,,,,,,,
General Publication(s):,"Borner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. ""Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas."" Nature Cell Biology 23 (11): 1117-28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,,
Data DOI:,https://doi.org/10.48539/HBM224.QJKZ.987,,,,,,
Date:,6/15/24,,,,,,
Version Number:,v1.6,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,node_type,glb file of single organs
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_horn_of_lateral_ventricle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_lateral_ventricle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_horn_of_lateral_ventricle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_horn_of_lateral_ventricle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_third_ventricle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebellar_vermis_L,cerebellar vermis,UBERON:0004720,http://purl.obolibrary.org/obo/UBERON_0004720,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebellar_deep_nuclei_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_white_matter_of_hindbrain_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_olfactory_tract_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_primary_motor_cortex_L,primary motor cortex,UBERON:0002703,http://purl.obolibrary.org/obo/UBERON_0002703,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_frontal_gyrus_L,superior frontal gyrus,UBERON:0002661,http://purl.obolibrary.org/obo/UBERON_0002661,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_middle_frontal_gyrus_L,middle frontal gyrus,UBERON:0002702,http://purl.obolibrary.org/obo/UBERON_0002702,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_frontal_gyrus_triangular_part_L,triangular part of inferior frontal gyrus,UBERON:0002629,http://purl.obolibrary.org/obo/UBERON_0002629,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_frontal_gyrus_opercular_part_L,opercular part of inferior frontal gyrus,UBERON:0002980,http://purl.obolibrary.org/obo/UBERON_0002980,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_gyrus_rectus_straight_gyrus_L,gyrus rectus,UBERON:0004671,http://purl.obolibrary.org/obo/UBERON_0004671,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_orbital_gyrus_L,medial orbital gyrus,UBERON:0002570,http://purl.obolibrary.org/obo/UBERON_0002570,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_intermediate_orbital_gyrus_L,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_intermediate_orbital_gyrus_L,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_orbital_gyrus_L,lateral orbital gyrus,UBERON:0002564,http://purl.obolibrary.org/obo/UBERON_0002564,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paracentral_lobule_rostral_part_L,anterior segment of paracentral lobule,UBERON:0035932,http://purl.obolibrary.org/obo/UBERON_0035932,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_operculum_L,frontal operculum,UBERON:0002947,http://purl.obolibrary.org/obo/UBERON_0002947,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_postcentral_gyrus_L,postcentral gyrus,UBERON:0002581,http://purl.obolibrary.org/obo/UBERON_0002581,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supraparietal_lobule_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supramarginal_gyrus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_angular_gyrus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_precuneus_L,precuneus cortex,UBERON:0006093,http://purl.obolibrary.org/obo/UBERON_0006093,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paracentral_lobule_caudal_part_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_temporal_gyrus_L,superior temporal gyrus,UBERON:0002769,http://purl.obolibrary.org/obo/UBERON_0002769,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_middle_temporal_gyrus_L,middle temporal gyrus,UBERON:0002771,http://purl.obolibrary.org/obo/UBERON_0002771,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_temporal_gyrus_L,inferior temporal gyrus,UBERON:0002751,http://purl.obolibrary.org/obo/UBERON_0002751,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_occipitotemporal_fusiform_gyrus_temporal_part_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_planum_temporale_L,planum temporale,UBERON:0022268,http://purl.obolibrary.org/obo/UBERON_0022268,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_temporal_pole_L,temporal pole,UBERON:0002576,http://purl.obolibrary.org/obo/UBERON_0002576,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_planum_polare_L,planum polare,UBERON:0023861,http://purl.obolibrary.org/obo/UBERON_0023861,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_occipital_pole_L,occipital pole,UBERON:0002902,http://purl.obolibrary.org/obo/UBERON_0002902,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cuneus_L,cuneus cortex,UBERON:0006092,http://purl.obolibrary.org/obo/UBERON_0006092,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lingual_gyrus_medial_occipitotemporal_gyrus_L,lingual gyrus,UBERON:0002943,http://purl.obolibrary.org/obo/UBERON_0002943,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_L,occipital fusiform gyrus,UBERON:0022364,http://purl.obolibrary.org/obo/UBERON_0022364,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_occipital_gyrus_L,inferior occipital gyrus,UBERON:0014608,http://purl.obolibrary.org/obo/UBERON_0014608,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_occipital_gyrus_L,superior occipital gyrus,UBERON:0002948,http://purl.obolibrary.org/obo/UBERON_0002948,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cingulate_gyrus_rostral_anterior_part_L,anterior cingulate gyrus,UBERON:0002756,http://purl.obolibrary.org/obo/UBERON_0002756,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cingulate_gyrus_caudal_posterior_part_L,posterior cingulate gyrus,UBERON:0002740,http://purl.obolibrary.org/obo/UBERON_0002740,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ingulo_parahippocampal_isthmus_L,isthmus of cingulate gyrus,UBERON:0002738,http://purl.obolibrary.org/obo/UBERON_0002738,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_subcallosal_gyrus_parolfactory_gyrus_L,subcallosal area,UBERON:0003020,http://purl.obolibrary.org/obo/UBERON_0003020,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_parahippocampal_gyrus_L,anterior parahippocampal gyrus,UBERON:0022383,http://purl.obolibrary.org/obo/UBERON_0022383,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_parahippocampal_gyrus_L,posterior parahippocampal gyrus,UBERON:0002657,http://purl.obolibrary.org/obo/UBERON_0002657,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_gyrus_ambiens_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_long_insular_gyri_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_short_insular_gyri_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_limen_insula_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pretectal_region_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_substantia_nigra_L,substantia nigra,UBERON:0002038,http://purl.obolibrary.org/obo/UBERON_0002038,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_colliculus_L,superior colliculus,UBERON:0001945,http://purl.obolibrary.org/obo/UBERON_0001945,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebral_peduncle_crus_cerebri_L,cerebral peduncle,UBERON:0002623,http://purl.obolibrary.org/obo/UBERON_0002623,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_cerebellar_peduncle_brachium_conjunctivum_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebral_aqueduct_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paravermis_of_cerebellum_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_hemisphere_of_cerebellum_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basilar_part_of_pons_L,pontine nuclear group,UBERON:0002151,http://purl.obolibrary.org/obo/UBERON_0002151,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pontine_tegmentum_L,pontine tegmentum,UBERON:0003023,UBERON:0003023,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pyramidal_part_of_medulla_oblongata_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_tegmentum_of_medulla_oblongata_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_olive_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_middle_cerebellar_peduncle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_fourth_ventricle_L,fourth ventricle,UBERON:0002422,http://purl.obolibrary.org/obo/UBERON_0002422,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_central_canal_of_medulla_oblongata_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_midline_nuclear_complex_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_olfactory_gyrus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_parietal_operculum_L,parietal operculum,UBERON:0002911,http://purl.obolibrary.org/obo/UBERON_0002911,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_optic_radiation_L,optic radiation,UBERON:0022264,http://purl.obolibrary.org/obo/UBERON_0022264,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posteroventral_putamen_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_atrium_of_lateral_ventricle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paracingulate_gyrus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_rostral_gyrus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontomarginal_gyrus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_pole_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_cerebellar_peduncle_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_hippocampus_L,hippocampal formation,UBERON:0002421,http://purl.obolibrary.org/obo/UBERON_0002421,organizational,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_head_of_hippocampus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_hippocampus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_tail_of_hippocampus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_brain_hemisphere_R,right cerebral hemisphere,UBERON:0002813,http://purl.obolibrary.org/obo/UBERON_0002813,organizational,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_olfactory_bulb_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_olfactory_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_piriform_region_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_agranular_insular_cortex_area_Fl_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_temporal_agranular_insular_cortex_area_Tl_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_head_of_caudate_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_caudate_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_tail_of_caudate_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_putamen_R,right putamen,UBERON:0008885,http://purl.obolibrary.org/obo/UBERON_0008885,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_nucleus_accumbens_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_external_segment_of_globus_pallidus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_internal_segment_of_globus_pallidus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_claustrum_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basal_forebrain_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_septal_nuclei_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_amygdaloid_complex_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_amygdaloid_area_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_central_nuclear_group_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basolateral_nucleus_basal_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basomedial_nucleus_accessory_basal_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_cortical_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_cortical_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_amygdalohippocampal_area_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_bed_nucleus_of_stria_terminalis_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_nuclear_complex_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_dorsal_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_mediodorsal_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_posterior_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pulvinar_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_anterior_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_lateral_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_posterior_lateral_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_posterior_medial_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_dorsal_lateral_geniculate_nucleus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_geniculate_nuclei_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_centromedian_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_parafascicular_nucleus_of_thalamus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_habenular_nuclei_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pineal_body_R,pineal body,UBERON:0001905,http://purl.obolibrary.org/obo/UBERON_0001905,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_zona_incerta_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supraoptic_region_of_HTH_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_white_matter_of_forebrain_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_commissure_R,anterior commissure,UBERON:0000935,http://purl.obolibrary.org/obo/UBERON_0000935,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_corpus_callosum_R,corpus callosum,UBERON:0002336,http://purl.obolibrary.org/obo/UBERON_0002336,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_fornix_R,fornix of brain,UBERON:0000052,http://purl.obolibrary.org/obo/UBERON_0000052,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_mammillothalamic_tract_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_optic_tract_R,optic tract,UBERON:0001908,http://purl.obolibrary.org/obo/UBERON_0001908,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_horn_of_lateral_ventricle_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_lateral_ventricle_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_horn_of_lateral_ventricle_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_horn_of_lateral_ventricle_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_third_ventricle_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebellar_vermis_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cerebellar_deep_nuclei_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_white_matter_of_hindbrain_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_olfactory_tract_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_primary_motor_cortex_R,primary motor cortex,UBERON:0002703,http://purl.obolibrary.org/obo/UBERON_0002703,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_frontal_gyrus_R,superior frontal gyrus,UBERON:0002661,http://purl.obolibrary.org/obo/UBERON_0002661,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_middle_frontal_gyrus_R,middle frontal gyrus,UBERON:0002702,http://purl.obolibrary.org/obo/UBERON_0002702,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_frontal_gyrus_triangular_part_R,triangular part of inferior frontal gyrus,UBERON:0002629,http://purl.obolibrary.org/obo/UBERON_0002629,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_frontal_gyrus_opercular_part_R,opercular part of inferior frontal gyrus,UBERON:0002980,http://purl.obolibrary.org/obo/UBERON_0002980,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_gyrus_rectus_straight_gyrus_R,gyrus rectus,UBERON:0004671,http://purl.obolibrary.org/obo/UBERON_0004671,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_orbital_gyrus_R,medial orbital gyrus,UBERON:0002570,http://purl.obolibrary.org/obo/UBERON_0002570,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_intermediate_orbital_gyrus_R,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_intermediate_orbital_gyrus_R,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_orbital_gyrus_R,lateral orbital gyrus,UBERON:0002564,http://purl.obolibrary.org/obo/UBERON_0002564,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paracentral_lobule_rostral_part_R,anterior segment of paracentral lobule,UBERON:0035932,http://purl.obolibrary.org/obo/UBERON_0035932,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_operculum_R,frontal operculum,UBERON:0002947,http://purl.obolibrary.org/obo/UBERON_0002947,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_postcentral_gyrus_R,postcentral gyrus,UBERON:0002581,http://purl.obolibrary.org/obo/UBERON_0002581,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supraparietal_lobule_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supramarginal_gyrus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_angular_gyrus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_precuneus_R,precuneus cortex,UBERON:0006093,http://purl.obolibrary.org/obo/UBERON_0006093,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paracentral_lobule_caudal_part_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_superior_temporal_gyrus_R,superior temporal gyrus,UBERON:0002769,http://purl.obolibrary.org/obo/UBERON_0002769,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_middle_temporal_gyrus_R,middle temporal gyrus,UBERON:0002771,http://purl.obolibrary.org/obo/UBERON_0002771,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_temporal_gyrus_R,inferior temporal gyrus,UBERON:0002751,http://purl.obolibrary.org/obo/UBERON_0002751,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_occipitotemporal_fusiform_gyrus_temporal_part_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_transverse_temporal_gyrus_Heschls_gyrus_R,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_planum_temporale_R,planum temporale,UBERON:0022268,http://purl.obolibrary.org/obo/UBERON_0022268,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_temporal_pole_R,temporal pole,UBERON:0002576,http://purl.obolibrary.org/obo/UBERON_0002576,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_planum_polare_R,planum polare,UBERON:0023861,http://purl.obolibrary.org/obo/UBERON_0023861,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_occipital_pole_R,occipital pole,UBERON:0002902,http://purl.obolibrary.org/obo/UBERON_0002902,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_cuneus_R,cuneus cortex,UBERON:0006092,http://purl.obolibrary.org/obo/UBERON_0006092,mesh,3d-allen-f-brain
